id,post_id,parent_comment_id,Comment,sender_id,user_id,status,action,type,created_at,updated_at
173,996,NULL,NULL,3,1,1,Like,Reaction,9/1/2019 18:29,9/7/2019 15:44
174,996,NULL,NULL,3,1,1,Love,Reaction,9/1/2019 18:29,9/7/2019 15:44
175,998,NULL,NULL,9,2,1,Like,Reaction,9/2/2019 16:56,9/2/2019 17:38
177,998,NULL,NULL,3,2,1,Love,Reaction,9/3/2019 3:25,9/4/2019 14:29
178,995,NULL,NULL,3,1,1,Love,Reaction,9/3/2019 3:25,9/7/2019 15:44
179,998,NULL,i wish there was smthn better,2,2,1,Commented,Post,9/4/2019 14:37,9/7/2019 15:44
180,999,NULL,Good,4,4,1,Commented,Post,9/5/2019 11:24,9/5/2019 17:20
181,998,NULL,Test,3,2,1,Commented,Post,9/5/2019 12:37,9/7/2019 15:44
182,998,NULL,Another test,3,2,1,Commented,Post,9/5/2019 12:37,9/7/2019 15:44
183,993,NULL,Hi,2,2,1,Commented,Post,9/5/2019 13:50,9/7/2019 15:44
184,998,NULL,all set,2,2,1,Commented,Post,9/5/2019 17:16,9/7/2019 15:44
185,1007,NULL,test,3,3,0,Commented,Post,9/6/2019 19:40,9/6/2019 19:40
186,1007,NULL,testt,3,3,0,Commented,Post,9/6/2019 19:40,9/6/2019 19:40
187,1007,186,test,3,3,0,Replied,Post,9/6/2019 19:40,9/6/2019 19:40
188,1007,186,testr,3,3,0,Replied,Post,9/6/2019 19:40,9/6/2019 19:40
189,998,182,Oya tester,4,3,0,Replied,Post,9/7/2019 10:33,9/7/2019 10:33
190,1002,NULL,just some funny comment,22,22,0,Commented,Post,9/7/2019 10:43,9/7/2019 10:43
191,1002,190,I just replied you,22,22,0,Replied,Post,9/7/2019 10:43,9/7/2019 10:43
193,993,NULL,NULL,4,2,1,Like,Reaction,9/7/2019 15:30,9/7/2019 15:44
194,983,NULL,NULL,4,2,1,Like,Reaction,9/7/2019 15:30,9/7/2019 15:44
195,983,NULL,NULL,4,2,1,Love,Reaction,9/7/2019 15:30,9/7/2019 15:44
197,985,NULL,NULL,2,2,1,Like,Reaction,9/7/2019 15:30,9/7/2019 15:44
198,985,NULL,NULL,2,2,1,Love,Reaction,9/7/2019 15:30,9/7/2019 15:44
199,999,NULL,NULL,1,4,1,Like,Reaction,9/7/2019 15:44,9/7/2019 17:48
202,1007,NULL,NULL,3,3,0,Like,Reaction,9/7/2019 15:45,9/7/2019 15:45
216,998,NULL,NULL,2,2,0,Like,Reaction,9/7/2019 17:33,9/7/2019 17:33
219,999,NULL,NULL,4,4,1,Like,Reaction,9/7/2019 18:11,9/19/2019 13:18
222,998,NULL,NULL,4,2,0,Love,Reaction,9/7/2019 18:11,9/7/2019 18:11
